40.55,-50.107,43.498,-0.0011597,-1.8579,0.040436,
39.992,-48.322,44.009,0.066101,-2.0078,0.29297,
34.155,-39.812,40.56,-0.87555,-2.0709,0.50812,
39.535,-48.679,44.967,-0.24469,-1.8793,0.062561,
39.383,-48.5,45.989,-0.45575,-1.8841,0.082397,
46.944,-51.892,43.562,0.056824,-1.4139,-0.075531,
33.8,-42.192,39.665,-0.59491,-2.3078,0.36697,
35.526,-46.001,41.773,-0.38501,-2.1138,0.18539,
35.627,-46.655,40.751,-0.099731,-2.2578,0.25787,
34.866,-31.48,38.005,-1.5099,-1.7746,1.1208,
39.484,-48.024,46.5,-0.37921,-1.9912,0.1091,
38.215,-47.548,45.158,-0.51257,-1.9305,0.10605,
33.191,-38.622,40.304,-0.99847,-2.234,0.58975,
39.687,-48.976,43.625,-0.028992,-1.9269,0.081635,
35.982,-45.525,43.306,-0.57404,-2.0543,0.20218,
37.556,-45.108,46.117,-0.17511,-2.3613,0.33112,
38.977,-47.786,39.41,-0.03363,-1.9864,0.23117,
32.988,-35.468,38.26,-1.2443,-1.9817,0.80948,
55.927,-46.953,46.883,-0.032471,-0.58081,0.43335,
33.597,-40.942,41.709,-0.80481,-2.1626,0.4364,
41.463,-48.738,48.16,-0.32123,-1.94,0.07782,
45.574,-50.523,45.031,0.041748,-1.5925,0.052643,
40.651,-48.441,46.18,-0.003479,-2.0281,0.17776,
38.165,-45.406,46.947,-0.40009,-2.2316,0.16708,
33.394,-41.954,43.625,-0.48242,-2.6696,0.41504,
37.606,-47.964,44.264,0.019714,-2.228,0.2594,
38.926,-46.06,45.478,0.011597,-2.1745,0.34485,
38.063,-46.834,46.5,-0.51721,-2.0352,0.17624,
45.067,-47.667,50.524,-0.24469,-1.7924,0.17395,
37.86,-46.239,45.989,-0.097412,-2.2852,0.37003,
35.373,-45.346,42.476,-0.21686,-2.5375,0.41122,
32.785,-34.337,39.474,-1.489,-2.5553,0.85678,
34.663,-42.371,40.943,-0.67261,-2.1626,0.36545,
37.353,-46.179,46.372,-0.097412,-2.3459,0.36469,
36.693,-46.715,43.306,-0.38385,-2.0555,0.13199,
39.535,-45.822,48.288,-0.053345,-2.1899,0.4715,
38.621,-48.917,45.606,-0.22498,-2.0697,0.103,
42.986,-50.166,46.372,-0.24469,-1.7579,-0.045776,
35.069,-45.287,39.665,-0.25629,-2.1638,0.24185,
34.967,-41.359,46.053,-0.74567,-2.4518,0.5043,
